transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_frequency,average_transaction_amount,account_age_days,merchant_category,location,fraud_status
64,15757897,2024-01-03 15:00:00,Deposit,1850.74,41,8235.72,547,Bills,Bangalore,Normal
65,15641122,2024-01-03 16:00:00,Transfer,5923.0,46,1617.24,841,Online,Hyderabad,Normal
66,15778149,2024-01-03 17:00:00,Transfer,81.28,45,569.4,2579,Retail,Mumbai,Normal
67,15810218,2024-01-03 18:00:00,Deposit,2331.31,26,6675.87,2135,Retail,Delhi,Normal
68,15591107,2024-01-03 19:00:00,Payment,2167.08,38,4482.79,1390,Online,Mumbai,Normal
69,15734850,2024-01-03 20:00:00,Transfer,3920.66,36,1107.34,843,Food,Bangalore,Normal
70,15770424,2024-01-03 21:00:00,Withdrawal,377.59,17,3075.37,643,Food,Hyderabad,Normal
71,15693771,2024-01-03 22:00:00,Withdrawal,7806.37,3,2055.67,455,Food,Chennai,Normal
72,15583371,2024-01-03 23:00:00,Withdrawal,1228.1,14,11178.34,1613,Travel,Mumbai,Normal
73,15707025,2024-01-04 00:00:00,Transfer,5651.1,49,3739.16,1464,Food,Delhi,Normal
74,15765732,2024-01-04 01:00:00,Payment,8128.14,13,689.75,1841,Retail,Delhi,Normal
75,15610936,2024-01-04 02:00:00,Payment,4126.28,41,2789.81,912,Travel,Hyderabad,Normal
76,15623858,2024-01-04 03:00:00,Deposit,6752.38,27,7938.18,1728,Food,Chennai,Normal
77,15656333,2024-01-04 04:00:00,Transfer,5421.48,1,4452.83,461,Retail,Bangalore,Normal
78,15785183,2024-01-04 05:00:00,Payment,2196.63,17,7392.1,1430,Travel,Chennai,Normal
79,15614213,2024-01-04 06:00:00,Transfer,8273.71,48,1152.86,977,Retail,Hyderabad,Normal
80,15647111,2024-01-04 07:00:00,Deposit,1745.67,34,8769.59,1418,Online,Chennai,Normal
81,15701074,2024-01-04 08:00:00,Deposit,4233.97,14,5635.98,1697,Retail,Hyderabad,Normal
82,15795290,2024-01-04 09:00:00,Deposit,6840.26,17,5221.27,2482,Travel,Chennai,Normal
83,15783097,2024-01-04 10:00:00,Withdrawal,2381.77,3,1701.9,2569,Food,Mumbai,Normal
84,15596165,2024-01-04 11:00:00,Transfer,1803.18,34,8744.83,2143,Travel,Delhi,Normal
85,15694852,2024-01-04 12:00:00,Deposit,3074.88,40,4064.22,941,Food,Hyderabad,Normal
86,15724443,2024-01-04 13:00:00,Transfer,8517.74,25,7637.84,420,Food,Hyderabad,Normal
87,15592461,2024-01-04 14:00:00,Withdrawal,13290.71,2,1791.22,112,Bills,Delhi,Normal
88,15703068,2024-01-04 15:00:00,Withdrawal,3938.21,34,629.67,1032,Online,Bangalore,Normal
89,15775905,2024-01-04 16:00:00,Deposit,5415.66,26,1615.89,510,Bills,Hyderabad,Normal
90,15750099,2024-01-04 17:00:00,Deposit,11679.35,31,2429.82,806,Travel,Mumbai,Normal
91,15606613,2024-01-04 18:00:00,Payment,518.74,9,3049.19,2862,Bills,Chennai,Normal
92,15639946,2024-01-04 19:00:00,Transfer,1320.34,30,2860.01,1784,Food,Mumbai,Normal
93,15771997,2024-01-04 20:00:00,Deposit,6170.44,20,3159.11,1278,Travel,Hyderabad,Normal
94,15627002,2024-01-04 21:00:00,Payment,8679.1,21,7373.2,1166,Bills,Bangalore,Normal
95,15780220,2024-01-04 22:00:00,Transfer,9725.57,29,745.81,2729,Retail,Hyderabad,Normal
96,15771299,2024-01-04 23:00:00,Deposit,2681.63,25,1519.49,1565,Online,Bangalore,Normal
97,15785611,2024-01-05 00:00:00,Payment,467.93,38,8778.82,1941,Retail,Delhi,Normal
98,15669219,2024-01-05 01:00:00,Payment,2879.32,44,3288.09,552,Travel,Chennai,Normal
99,15614302,2024-01-05 02:00:00,Transfer,1311.6,25,3502.42,1962,Bills,Mumbai,Normal
100,15664339,2024-01-05 03:00:00,Payment,1720.88,9,2600.83,1724,Food,Bangalore,Normal
101,15708196,2024-01-05 04:00:00,Transfer,7397.92,39,3184.93,2282,Bills,Mumbai,Normal
102,15793346,2024-01-05 05:00:00,Transfer,392.66,44,882.98,771,Travel,Delhi,Normal
103,15641158,2024-01-05 06:00:00,Transfer,8789.14,26,3166.28,2396,Travel,Hyderabad,Normal
104,15654230,2024-01-05 07:00:00,Withdrawal,2790.19,37,23474.34,307,Travel,Bangalore,Suspicious
105,15684440,2024-01-05 08:00:00,Payment,4532.49,16,3339.28,2979,Travel,Chennai,Normal
106,15636089,2024-01-05 09:00:00,Transfer,469.64,37,181.67,177,Bills,Bangalore,Normal
107,15578156,2024-01-05 10:00:00,Deposit,2057.61,12,6367.09,807,Retail,Hyderabad,Normal
108,15712584,2024-01-05 11:00:00,Withdrawal,469.91,24,2019.87,1136,Food,Hyderabad,Normal
109,15791533,2024-01-05 12:00:00,Withdrawal,16291.17,26,667.41,448,Food,Chennai,Normal
110,15734917,2024-01-05 13:00:00,Payment,8232.11,20,7937.1,2615,Online,Chennai,Normal
111,15690958,2024-01-05 14:00:00,Transfer,3077.53,9,882.45,2469,Travel,Delhi,Normal
112,15751524,2024-01-05 15:00:00,Payment,1265.45,23,10141.47,1186,Travel,Mumbai,Normal
113,15662884,2024-01-05 16:00:00,Withdrawal,13549.39,39,2332.13,969,Travel,Bangalore,Normal
114,15686345,2024-01-05 17:00:00,Transfer,2112.52,29,5431.46,2049,Retail,Delhi,Normal
115,15660144,2024-01-05 18:00:00,Deposit,877.63,31,3167.42,1657,Travel,Mumbai,Normal
116,15714485,2024-01-05 19:00:00,Transfer,4140.99,19,1186.23,271,Online,Delhi,Normal
117,15709199,2024-01-05 20:00:00,Withdrawal,14391.89,20,4447.89,1028,Online,Chennai,Normal
118,15753110,2024-01-05 21:00:00,Deposit,19.19,23,12672.02,1253,Retail,Chennai,Normal
119,15698324,2024-01-05 22:00:00,Transfer,1359.86,43,5872.4,1272,Travel,Hyderabad,Normal
120,15776128,2024-01-05 23:00:00,Deposit,13939.34,27,3705.55,2320,Bills,Bangalore,Normal
121,15755262,2024-01-06 00:00:00,Deposit,938.19,30,18680.16,1847,Bills,Bangalore,Normal
122,15641604,2024-01-06 01:00:00,Withdrawal,600.92,21,1233.32,1882,Food,Bangalore,Normal
123,15631639,2024-01-06 02:00:00,Deposit,4222.03,44,257.48,713,Retail,Delhi,Normal
124,15677955,2024-01-06 03:00:00,Payment,9896.85,35,130.63,1441,Bills,Delhi,Normal
125,15686461,2024-01-06 04:00:00,Withdrawal,3241.92,49,4961.0,2665,Food,Bangalore,Normal
126,15607713,2024-01-06 05:00:00,Payment,26073.8,7,7093.3,1262,Online,Hyderabad,Suspicious
127,15764726,2024-01-06 06:00:00,Deposit,5684.25,22,4032.53,646,Food,Mumbai,Normal
128,15614215,2024-01-06 07:00:00,Payment,384.81,10,9416.63,2057,Travel,Delhi,Normal
129,15595883,2024-01-06 08:00:00,Transfer,24690.73,23,4789.0,2103,Travel,Bangalore,Normal
130,15742297,2024-01-06 09:00:00,Deposit,2620.35,15,1854.21,2940,Online,Chennai,Normal
131,15697510,2024-01-06 10:00:00,Transfer,1694.19,30,799.95,2156,Retail,Delhi,Normal
132,15649536,2024-01-06 11:00:00,Payment,4080.86,34,10342.31,1041,Travel,Mumbai,Normal
133,15697045,2024-01-06 12:00:00,Transfer,1814.24,13,437.46,2047,Travel,Delhi,Normal
134,15704763,2024-01-06 13:00:00,Deposit,452.13,4,3132.19,157,Food,Mumbai,Normal
135,15778345,2024-01-06 14:00:00,Transfer,7.15,18,1507.56,442,Food,Mumbai,Normal
136,15807473,2024-01-06 15:00:00,Payment,2985.4,23,1266.6,2214,Food,Delhi,Normal
137,15705009,2024-01-06 16:00:00,Payment,9065.84,33,4151.97,1387,Bills,Mumbai,Normal
138,15569178,2024-01-06 17:00:00,Payment,4246.84,34,1051.89,2625,Online,Delhi,Normal
139,15729908,2024-01-06 18:00:00,Deposit,35700.32,34,9925.18,2465,Retail,Delhi,Suspicious
140,15630709,2024-01-06 19:00:00,Payment,1690.29,36,2083.8,600,Food,Hyderabad,Normal
141,15812197,2024-01-06 20:00:00,Deposit,1645.68,35,4525.06,2498,Retail,Chennai,Normal
142,15793671,2024-01-06 21:00:00,Transfer,870.28,17,5204.22,170,Food,Mumbai,Normal
143,15568876,2024-01-06 22:00:00,Payment,896.01,28,4594.68,1969,Travel,Delhi,Normal
144,15815236,2024-01-06 23:00:00,Transfer,1678.67,14,9348.72,80,Retail,Mumbai,Normal
145,15725665,2024-01-07 00:00:00,Withdrawal,7871.32,34,1051.34,1458,Bills,Delhi,Normal
146,15814040,2024-01-07 01:00:00,Transfer,11809.38,48,359.94,1390,Food,Delhi,Normal
147,15627697,2024-01-07 02:00:00,Withdrawal,18461.86,11,228.25,2739,Online,Delhi,Suspicious
148,15609475,2024-01-07 03:00:00,Transfer,1321.71,13,8409.83,395,Travel,Chennai,Normal
149,15655360,2024-01-07 04:00:00,Deposit,10655.68,33,14490.43,2985,Food,Mumbai,Suspicious
150,15580227,2024-01-07 05:00:00,Transfer,1989.38,2,1441.16,1964,Retail,Chennai,Normal
151,15663441,2024-01-07 06:00:00,Deposit,598.65,34,4730.33,2033,Food,Chennai,Normal
152,15724876,2024-01-07 07:00:00,Deposit,10202.06,29,35.81,2931,Travel,Chennai,Normal
153,15670343,2024-01-07 08:00:00,Payment,5054.46,37,836.13,287,Online,Chennai,Normal
154,15795079,2024-01-07 09:00:00,Deposit,900.01,4,4675.38,74,Online,Hyderabad,Normal
155,15709117,2024-01-07 10:00:00,Withdrawal,2809.11,12,272.63,298,Online,Mumbai,Normal
156,15800583,2024-01-07 11:00:00,Payment,1693.18,26,2528.28,1364,Travel,Mumbai,Normal
157,15803840,2024-01-07 12:00:00,Payment,6674.1,28,4345.75,701,Food,Delhi,Normal
158,15631481,2024-01-07 13:00:00,Transfer,3020.34,3,5809.02,1331,Travel,Mumbai,Normal
159,15800554,2024-01-07 14:00:00,Deposit,22678.2,20,2419.2,2934,Travel,Chennai,Suspicious
160,15633474,2024-01-07 15:00:00,Deposit,281.5,10,3980.08,2222,Food,Bangalore,Normal
161,15782879,2024-01-07 16:00:00,Withdrawal,2192.64,18,3102.43,2019,Bills,Mumbai,Normal
162,15736043,2024-01-07 17:00:00,Transfer,3287.94,27,214.89,264,Online,Bangalore,Normal
163,15596575,2024-01-07 18:00:00,Transfer,3497.17,31,5431.68,2768,Retail,Hyderabad,Normal
164,15738166,2024-01-07 19:00:00,Payment,1898.52,27,756.72,2797,Retail,Delhi,Normal
165,15788659,2024-01-07 20:00:00,Payment,6532.62,42,129.29,1498,Food,Delhi,Normal
166,15779497,2024-01-07 21:00:00,Payment,10387.1,1,2399.85,2430,Retail,Delhi,Normal
167,15713440,2024-01-07 22:00:00,Withdrawal,13961.45,6,8028.86,1447,Bills,Hyderabad,Normal
168,15580845,2024-01-07 23:00:00,Withdrawal,8176.17,11,653.98,1023,Travel,Chennai,Normal
169,15676513,2024-01-08 00:00:00,Payment,9504.98,34,51.76,304,Online,Bangalore,Normal
170,15773868,2024-01-08 01:00:00,Transfer,3998.6,39,466.04,939,Retail,Mumbai,Normal
171,15684960,2024-01-08 02:00:00,Withdrawal,8740.29,20,1808.08,469,Retail,Chennai,Normal
172,15633574,2024-01-08 03:00:00,Transfer,1808.47,21,3471.64,1116,Food,Delhi,Normal
173,15773804,2024-01-08 04:00:00,Transfer,2541.47,21,857.79,1926,Food,Delhi,Normal
174,15679611,2024-01-08 05:00:00,Deposit,1905.67,18,6477.23,1780,Travel,Chennai,Normal
175,15586629,2024-01-08 06:00:00,Payment,3149.8,21,5598.28,901,Online,Bangalore,Normal
176,15569917,2024-01-08 07:00:00,Deposit,1681.42,19,4761.12,680,Retail,Chennai,Normal
177,15611973,2024-01-08 08:00:00,Payment,16299.98,4,2673.58,63,Travel,Hyderabad,Suspicious
178,15718944,2024-01-08 09:00:00,Payment,1875.97,13,1817.89,2782,Online,Delhi,Normal
179,15633586,2024-01-08 10:00:00,Transfer,515.95,18,1883.77,896,Travel,Bangalore,Normal
180,15669516,2024-01-08 11:00:00,Payment,3741.37,29,2797.23,861,Retail,Mumbai,Normal
181,15615140,2024-01-08 12:00:00,Transfer,293.97,25,321.87,1140,Food,Delhi,Normal
182,15601589,2024-01-08 13:00:00,Transfer,585.72,13,4586.66,491,Food,Chennai,Normal
183,15581370,2024-01-08 14:00:00,Payment,1238.39,27,1732.42,2158,Food,Bangalore,Normal
184,15608541,2024-01-08 15:00:00,Transfer,3121.37,19,1018.32,351,Bills,Delhi,Normal
185,15795079,2024-01-08 16:00:00,Transfer,2839.19,49,1304.73,444,Travel,Mumbai,Normal
186,15696506,2024-01-08 17:00:00,Transfer,8039.49,1,795.24,1904,Retail,Mumbai,Normal
187,15804038,2024-01-08 18:00:00,Withdrawal,6725.28,38,9273.56,2267,Travel,Chennai,Normal
188,15813095,2024-01-08 19:00:00,Transfer,2778.4,19,740.68,1286,Food,Hyderabad,Normal
189,15732832,2024-01-08 20:00:00,Withdrawal,2030.11,1,8579.8,2469,Travel,Chennai,Normal
190,15730044,2024-01-08 21:00:00,Withdrawal,1902.41,40,3396.8,197,Online,Bangalore,Normal
191,15605672,2024-01-08 22:00:00,Transfer,7435.99,17,8083.21,1203,Travel,Chennai,Normal
192,15694444,2024-01-08 23:00:00,Transfer,267.39,21,2570.3,2741,Bills,Bangalore,Normal
193,15772341,2024-01-09 00:00:00,Withdrawal,64.52,22,10504.06,1439,Bills,Hyderabad,Normal
194,15800814,2024-01-09 01:00:00,Withdrawal,7937.02,15,950.44,2458,Food,Chennai,Normal
195,15600974,2024-01-09 02:00:00,Transfer,3242.27,39,3235.95,1862,Retail,Mumbai,Normal
196,15782418,2024-01-09 03:00:00,Transfer,701.38,48,537.96,2054,Online,Bangalore,Normal
197,15710726,2024-01-09 04:00:00,Payment,1343.1,39,2371.18,1670,Retail,Bangalore,Normal
198,15756425,2024-01-09 05:00:00,Withdrawal,13478.43,32,3374.98,927,Retail,Mumbai,Normal
199,15613713,2024-01-09 06:00:00,Withdrawal,9812.84,49,3722.32,2941,Online,Chennai,Normal
200,15645815,2024-01-09 07:00:00,Payment,6185.67,4,1819.85,2139,Bills,Hyderabad,Normal
201,15776733,2024-01-09 08:00:00,Withdrawal,3291.07,44,317.63,2605,Food,Delhi,Normal
202,15638730,2024-01-09 09:00:00,Deposit,3673.22,45,4260.63,891,Travel,Chennai,Normal
203,15777892,2024-01-09 10:00:00,Withdrawal,18493.55,32,2681.1,179,Bills,Chennai,Normal
204,15748432,2024-01-09 11:00:00,Payment,16873.33,4,588.8,2193,Food,Bangalore,Normal
205,15627262,2024-01-09 12:00:00,Deposit,1212.07,1,10987.74,853,Bills,Bangalore,Normal
206,15668289,2024-01-09 13:00:00,Transfer,8332.81,33,12464.25,2142,Online,Hyderabad,Normal
207,15647890,2024-01-09 14:00:00,Payment,1098.51,7,7768.64,1482,Retail,Hyderabad,Normal
208,15722845,2024-01-09 15:00:00,Payment,1201.05,9,7428.22,2387,Online,Hyderabad,Normal
209,15602994,2024-01-09 16:00:00,Transfer,5636.49,1,415.54,2783,Travel,Mumbai,Normal
210,15693267,2024-01-09 17:00:00,Payment,2595.98,16,20094.95,2931,Online,Delhi,Suspicious
211,15581736,2024-01-09 18:00:00,Withdrawal,13407.85,18,2045.84,1483,Retail,Delhi,Normal
212,15603065,2024-01-09 19:00:00,Transfer,466.12,47,712.3,335,Bills,Hyderabad,Normal
213,15699550,2024-01-09 20:00:00,Payment,3582.34,6,6687.42,1414,Food,Bangalore,Normal
214,15642391,2024-01-09 21:00:00,Transfer,12537.08,2,1023.34,1604,Travel,Delhi,Normal
215,15633840,2024-01-09 22:00:00,Transfer,11722.96,9,2987.67,902,Bills,Chennai,Normal
216,15810010,2024-01-09 23:00:00,Transfer,851.15,4,547.94,198,Food,Mumbai,Normal
217,15772601,2024-01-10 00:00:00,Deposit,2283.56,45,2574.73,1512,Retail,Bangalore,Normal
218,15792453,2024-01-10 01:00:00,Payment,4826.37,23,3267.06,1633,Online,Mumbai,Normal
219,15704987,2024-01-10 02:00:00,Deposit,868.17,43,2361.81,1060,Bills,Chennai,Normal
220,15808846,2024-01-10 03:00:00,Payment,17213.56,45,288.08,1764,Food,Delhi,Normal
221,15769346,2024-01-10 04:00:00,Withdrawal,12310.8,43,2653.88,2665,Food,Mumbai,Normal
222,15782939,2024-01-10 05:00:00,Withdrawal,913.31,8,2531.54,2839,Online,Mumbai,Normal
223,15667265,2024-01-10 06:00:00,Withdrawal,645.74,39,1213.19,376,Bills,Mumbai,Normal
224,15780514,2024-01-10 07:00:00,Payment,446.39,25,10183.81,764,Bills,Chennai,Normal
225,15674620,2024-01-10 08:00:00,Transfer,12008.92,16,2163.71,1306,Retail,Bangalore,Normal
226,15576706,2024-01-10 09:00:00,Transfer,1076.02,35,7983.81,2487,Bills,Bangalore,Normal
227,15728352,2024-01-10 10:00:00,Deposit,2691.71,17,464.62,572,Online,Chennai,Normal
228,15718773,2024-01-10 11:00:00,Deposit,2978.75,18,1536.05,384,Bills,Mumbai,Normal
229,15779247,2024-01-10 12:00:00,Withdrawal,4569.11,27,775.95,742,Retail,Mumbai,Normal
230,15715715,2024-01-10 13:00:00,Deposit,372.19,15,2099.77,613,Food,Hyderabad,Normal
231,15676645,2024-01-10 14:00:00,Payment,1285.82,17,473.5,540,Bills,Delhi,Normal
232,15744046,2024-01-10 15:00:00,Payment,13403.91,43,2326.67,2610,Online,Delhi,Normal
233,15678725,2024-01-10 16:00:00,Deposit,11952.17,5,1747.02,2605,Bills,Bangalore,Normal
234,15605333,2024-01-10 17:00:00,Deposit,7600.06,16,1010.88,976,Travel,Chennai,Normal
235,15686776,2024-01-10 18:00:00,Deposit,97.96,15,4110.89,1228,Retail,Mumbai,Normal
236,15668289,2024-01-10 19:00:00,Deposit,1980.1,42,12056.52,2901,Food,Delhi,Normal
237,15710034,2024-01-10 20:00:00,Withdrawal,4943.75,46,928.3,107,Travel,Chennai,Normal
238,15744717,2024-01-10 21:00:00,Withdrawal,1609.23,34,4976.28,469,Online,Chennai,Normal
239,15723008,2024-01-10 22:00:00,Deposit,12016.82,48,5425.09,1805,Bills,Mumbai,Normal
240,15749671,2024-01-10 23:00:00,Payment,5024.1,19,2757.58,2626,Retail,Chennai,Normal
241,15673372,2024-01-11 00:00:00,Withdrawal,373.12,8,9118.14,2477,Bills,Delhi,Normal
242,15724536,2024-01-11 01:00:00,Payment,11984.79,47,13571.73,1246,Bills,Hyderabad,Suspicious
243,15591010,2024-01-11 02:00:00,Transfer,15822.73,10,1799.21,2778,Bills,Delhi,Normal
244,15802071,2024-01-11 03:00:00,Payment,404.49,5,4211.12,1320,Bills,Hyderabad,Normal
245,15791373,2024-01-11 04:00:00,Deposit,3800.29,48,4341.35,155,Retail,Chennai,Normal
246,15671358,2024-01-11 05:00:00,Transfer,1807.46,26,2067.61,1768,Travel,Delhi,Normal
247,15681506,2024-01-11 06:00:00,Withdrawal,2494.81,22,1523.82,2911,Online,Mumbai,Normal
248,15766887,2024-01-11 07:00:00,Withdrawal,990.13,44,10856.93,2621,Travel,Chennai,Normal
249,15773322,2024-01-11 08:00:00,Transfer,4314.6,23,6242.24,531,Retail,Mumbai,Normal
250,15621550,2024-01-11 09:00:00,Payment,15847.97,13,486.25,2901,Online,Hyderabad,Normal
251,15645200,2024-01-11 10:00:00,Withdrawal,3496.56,9,510.81,416,Food,Bangalore,Normal
252,15697606,2024-01-11 11:00:00,Deposit,432.77,49,10232.12,441,Travel,Bangalore,Normal
253,15655574,2024-01-11 12:00:00,Transfer,4837.94,20,339.66,1399,Retail,Hyderabad,Normal
254,15790067,2024-01-11 13:00:00,Deposit,2079.27,28,4664.41,2036,Retail,Bangalore,Normal
255,15803654,2024-01-11 14:00:00,Transfer,9687.11,44,1028.65,1147,Retail,Chennai,Normal
256,15587596,2024-01-11 15:00:00,Withdrawal,2851.8,37,143.28,2405,Online,Chennai,Normal
257,15678333,2024-01-11 16:00:00,Payment,1071.16,24,245.96,2177,Bills,Delhi,Normal
258,15714634,2024-01-11 17:00:00,Transfer,1060.43,44,1870.57,2538,Food,Chennai,Normal
259,15670343,2024-01-11 18:00:00,Transfer,7321.59,33,323.06,1368,Online,Bangalore,Normal
260,15604348,2024-01-11 19:00:00,Deposit,1543.42,20,3631.7,2102,Online,Mumbai,Normal
261,15641114,2024-01-11 20:00:00,Withdrawal,7288.6,48,4168.03,1971,Travel,Delhi,Normal
262,15583681,2024-01-11 21:00:00,Deposit,1152.65,30,1870.23,2571,Food,Mumbai,Normal
263,15596962,2024-01-11 22:00:00,Withdrawal,1940.73,44,5432.82,382,Retail,Bangalore,Normal
264,15724099,2024-01-11 23:00:00,Deposit,3132.0,9,2693.71,898,Online,Mumbai,Normal
265,15594084,2024-01-12 00:00:00,Transfer,14340.73,45,2250.08,2276,Food,Bangalore,Normal
266,15631681,2024-01-12 01:00:00,Deposit,13421.53,49,2090.16,1332,Travel,Chennai,Normal
267,15641413,2024-01-12 02:00:00,Payment,1158.85,17,2256.25,876,Bills,Delhi,Normal
